0.8194 0.2757 0.8333
0.8131 0.2824 0.8396
0.8068 0.2888 0.846
0.8006 0.295 0.8524
0.7944 0.3008 0.8587
0.7883 0.3064 0.8649
0.7821 0.3118 0.8712
0.776 0.3171 0.8773
0.7698 0.3221 0.8834
0.7637 0.3271 0.8895
0.7575 0.3319 0.8954
0.7513 0.3366 0.9013
0.7451 0.3412 0.907
0.7388 0.3457 0.9126
0.7325 0.3502 0.9181
0.7261 0.3547 0.9235
0.7197 0.3591 0.9287
0.7132 0.3635 0.9337
0.7066 0.3679 0.9386
0.6999 0.3723 0.9432
0.6931 0.3767 0.9477
0.6862 0.3812 0.9519
0.6791 0.3857 0.9558
0.672 0.3903 0.9595
0.6646 0.3949 0.9629
0.6572 0.3995 0.9659
0.6495 0.4042 0.9687
0.6417 0.409 0.9711
0.6338 0.4139 0.9732
0.6256 0.4188 0.975
0.6173 0.4237 0.9765
0.6089 0.4287 0.9776
0.6003 0.4336 0.9784
0.5916 0.4386 0.9789
0.5827 0.4436 0.9791
0.5736 0.4486 0.979
0.5644 0.4536 0.9786
0.5551 0.4585 0.9778
0.5457 0.4634 0.9768
0.5361 0.4684 0.9754
0.5264 0.4732 0.9738
0.5165 0.4781 0.9718
0.5066 0.4829 0.9695
0.4965 0.4876 0.967
0.4864 0.4923 0.9641
0.4761 0.497 0.961
0.4657 0.5015 0.9576
0.4553 0.506 0.9538
0.4447 0.5105 0.9498
0.4341 0.5149 0.9455
0.4235 0.5192 0.9409
0.4128 0.5234 0.936
0.402 0.5275 0.9308
0.3913 0.5316 0.9253
0.3805 0.5355 0.9196
0.3697 0.5394 0.9137
0.3589 0.5431 0.9076
0.3481 0.5468 0.9012
0.3374 0.5504 0.8946
0.3266 0.5538 0.8879
0.3159 0.5572 0.881
0.3051 0.5605 0.874
0.2945 0.5636 0.8669
0.2838 0.5667 0.8596
0.2732 0.5696 0.8522
0.2626 0.5725 0.8448
0.2521 0.5752 0.8372
0.2416 0.5779 0.8296
0.2312 0.5804 0.8219
0.2209 0.5829 0.8142
0.2107 0.5853 0.8064
0.2005 0.5875 0.7986
0.1904 0.5897 0.7907
0.1805 0.5918 0.7829
0.1707 0.5938 0.775
0.161 0.5957 0.7671
0.1515 0.5976 0.7592
0.1422 0.5993 0.7512
0.1331 0.601 0.7433
0.1243 0.6026 0.7354
0.1158 0.6041 0.7274
0.1077 0.6055 0.7195
0.1 0.6069 0.7116
0.0929 0.6082 0.7036
0.0864 0.6094 0.6957
0.0806 0.6106 0.6878
0.0757 0.6117 0.6799
0.0717 0.6128 0.6719
0.0688 0.6137 0.664
0.0671 0.6147 0.6561
0.0666 0.6155 0.6481
0.0674 0.6163 0.6402
0.0694 0.6171 0.6322
0.0724 0.6178 0.6243
0.0765 0.6184 0.6163
0.0815 0.619 0.6083
0.0873 0.6195 0.6003
0.0937 0.62 0.5922
0.1006 0.6204 0.5841
0.108 0.6208 0.576
0.1158 0.6211 0.5679
0.1239 0.6213 0.5597
0.1323 0.6215 0.5515
0.1409 0.6217 0.5433
0.1497 0.6217 0.535
0.1587 0.6217 0.5267
0.1678 0.6217 0.5183
0.177 0.6216 0.5098
0.1863 0.6214 0.5014
0.1956 0.6212 0.4928
0.2051 0.6209 0.4843
0.2146 0.6205 0.4756
0.2242 0.6201 0.4669
0.2339 0.6196 0.4582
0.2436 0.619 0.4494
0.2533 0.6184 0.4406
0.2631 0.6177 0.4317
0.273 0.6169 0.4227
0.2829 0.616 0.4138
0.2928 0.615 0.4047
0.3028 0.614 0.3957
0.3128 0.6129 0.3866
0.3229 0.6117 0.3774
0.333 0.6104 0.3682
0.3431 0.609 0.359
0.3532 0.6076 0.3498
0.3634 0.606 0.3406
0.3736 0.6043 0.3313
0.3838 0.6026 0.322
0.394 0.6008 0.3127
0.4042 0.5988 0.3035
0.4145 0.5968 0.2942
0.4246 0.5947 0.2849
0.4348 0.5924 0.2757
0.4449 0.5901 0.2664
0.455 0.5877 0.2572
0.4651 0.5852 0.2479
0.4751 0.5826 0.2387
0.485 0.5799 0.2295
0.4949 0.5772 0.2203
0.5047 0.5743 0.2112
0.5145 0.5714 0.2021
0.5241 0.5683 0.1931
0.5337 0.5652 0.184
0.5432 0.562 0.1751
0.5526 0.5588 0.1662
0.5619 0.5554 0.1574
0.5711 0.552 0.1486
0.5802 0.5485 0.14
0.5892 0.5449 0.1314
0.5981 0.5412 0.123
0.6069 0.5375 0.1147
0.6156 0.5338 0.1066
0.6241 0.5299 0.0987
0.6325 0.526 0.0911
0.6408 0.5221 0.0837
0.6489 0.518 0.0767
0.657 0.514 0.07
0.6649 0.5099 0.0637
0.6727 0.5057 0.0579
0.6803 0.5015 0.0526
0.6879 0.4972 0.048
0.6953 0.4929 0.0441
0.7026 0.4885 0.041
0.7098 0.4841 0.0389
0.7169 0.4796 0.0377
0.7239 0.4751 0.0374
0.7307 0.4705 0.0381
0.7375 0.4659 0.0397
0.7441 0.4613 0.0421
0.7506 0.4566 0.0452
0.757 0.4518 0.049
0.7634 0.4471 0.0533
0.7696 0.4422 0.0579
0.7757 0.4374 0.0629
0.7817 0.4324 0.0682
0.7876 0.4275 0.0737
0.7934 0.4225 0.0794
0.7991 0.4174 0.0852
0.8047 0.4123 0.0912
0.8103 0.4071 0.0972
0.8157 0.4019 0.1033
0.821 0.3967 0.1096
0.8262 0.3914 0.1159
0.8314 0.3861 0.1223
0.8364 0.3807 0.1288
0.8413 0.3753 0.1355
0.8461 0.3699 0.1422
0.8507 0.3645 0.1491
0.8553 0.359 0.1561
0.8597 0.3535 0.1632
0.8641 0.348 0.1704
0.8683 0.3425 0.1778
0.8723 0.3369 0.1853
0.8762 0.3314 0.193
0.88 0.3259 0.2008
0.8837 0.3203 0.2088
0.8872 0.3148 0.217
0.8906 0.3094 0.2253
0.8938 0.3039 0.2338
0.8969 0.2985 0.2426
0.8998 0.2932 0.2515
0.9025 0.2879 0.2607
0.9051 0.2827 0.27
0.9075 0.2775 0.2796
0.9098 0.2725 0.2895
0.9118 0.2675 0.2995
0.9137 0.2627 0.3098
0.9155 0.258 0.3202
0.9171 0.2533 0.3309
0.9185 0.2488 0.3417
0.9197 0.2445 0.3527
0.9208 0.2402 0.3638
0.9217 0.2362 0.3751
0.9225 0.2322 0.3865
0.9231 0.2285 0.398
0.9235 0.2249 0.4096
0.9238 0.2215 0.4214
0.9239 0.2183 0.4332
0.9238 0.2153 0.4451
0.9236 0.2125 0.457
0.9232 0.21 0.469
0.9227 0.2078 0.481
0.9219 0.2058 0.493
0.921 0.2041 0.505
0.9199 0.2028 0.5171
0.9187 0.2018 0.529
0.9172 0.2012 0.541
0.9156 0.2009 0.5528
0.9138 0.2011 0.5646
0.9117 0.2016 0.5762
0.9095 0.2026 0.5877
0.9071 0.204 0.5991
0.9044 0.2057 0.6104
0.9017 0.2078 0.6216
0.8987 0.2102 0.6326
0.8956 0.2128 0.6435
0.8923 0.2157 0.6543
0.8889 0.2188 0.6649
0.8854 0.2221 0.6754
0.8817 0.2255 0.6858
0.8779 0.2291 0.6961
0.874 0.2327 0.7063
0.87 0.2364 0.7164
0.866 0.2401 0.7264
0.8619 0.2438 0.7363
0.8577 0.2474 0.7461
0.8534 0.2511 0.7559
0.8492 0.2546 0.7656
0.8449 0.2581 0.7753
0.8406 0.2614 0.7849
0.8363 0.2646 0.7945
0.832 0.2677 0.8042
0.8278 0.2706 0.8138
0.8235 0.2733 0.8235
0.8194 0.2757 0.8333

